"","Year","Area","Street","Street.2"
"527",2011,"Birmingham","Bristol Rd  Northfield","Bristol Rd Northfield"
"528",2011,"Birmingham","Bristol Rd  Selly Oak","Bristol Rd Selly Oak"
"529",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"530",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"531",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"532",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"533",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"534",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"535",2011,"Birmingham","bristol Rd.",""
"536",2011,"Birmingham","bristol Rd.","bristol Rd."
"537",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"538",2011,"Birmingham","bristol Rd.","bristol Rd."
"539",2011,"Birmingham","bristol Rd.","bristol Rd."
"540",2011,"Birmingham","bristol Rd.","bristol Rd."
"541",2011,"Birmingham","bristol Rd.","bristol Rd."
"542",2011,"Birmingham","Bristol Rd.","Bristol Rd."
"543",2011,"Birmingham","Bristol Rd. Northfield",""
"544",2011,"Birmingham","bristol Rd. selly oak",""
"545",2011,"Birmingham","Bristol Rd. selly Oak",""
"546",2011,"Birmingham","bristol Rd. selly oak","bristol Rd. selly oak"
"547",2011,"Birmingham","Bristol Rd. South  Northfield","Bristol Rd. South Northfield"
"548",2011,"Birmingham","Bristol Rd. South  Selly Oak","Bristol Rd. South Selly Oak"
"549",2011,"Birmingham","Bristol Rd.  Selly Oak",""
"550",2011,"Birmingham","Bristol Rd.  Selly Oak","Bristol Rd. Selly Oak"
"551",2011,"Birmingham","Bristol Rd.  Selly Oak","Bristol Rd. Selly Oak"
"552",2011,"Birmingham","bRd. street",""
"553",2011,"Birmingham","bRd. street","bRd. street"
"554",2011,"Birmingham","bRd. street","bRd. street"
"555",2011,"Birmingham","BRd. St.  City Centre","BRd. St. City Centre"
"556",2011,"Birmingham","BRd. St.  City Centre","BRd. St. City Centre"
"557",2011,"Birmingham","Brook lane",""
"558",2011,"Birmingham","bunburry Rd.",""
"559",2011,"Birmingham","bunburry Rd.","bunburry Rd."
"560",2011,"Birmingham","Burnhill Grove  Weoley Castle  Birmingham ","Burnhill Grove Weoley Castle Birmingham"
"561",2011,"Birmingham","Car Park of Bournville lane P/Stn",""
"562",2011,"Birmingham","chinbrook Rd.  billsley","chinbrook Rd. billsley"
"563",2011,"Birmingham","church hill nortthfield",""
"564",2011,"Birmingham","Church Rd.",""
"565",2011,"Birmingham","Compton Rd.  Cradley Heath","Compton Rd. Cradley Heath"
"566",2011,"Birmingham","Costcutters  Ardern Rd.","Costcutters Ardern Rd."
"567",2011,"Birmingham","dawberry Rd.",""
"568",2011,"Birmingham","Dawlish Rd.",""
"569",2011,"Birmingham","dingle club",""
"570",2011,"Birmingham","doddington Rd.",""
"571",2011,"Birmingham","Dog Kennel Lane",""
"572",2011,"Birmingham","dog pool lane",""
"573",2011,"Birmingham","downfield drive",""
"574",2011,"Birmingham","Dudley bus station",""
"575",2011,"Birmingham","Dwellings Lane",""
"576",2011,"Birmingham","EAFO",""
"577",2011,"Birmingham","Edgbaston Cricket Ground",""
"578",2011,"Birmingham","edgbaston park Rd.",""
"579",2011,"Birmingham","Exeter Rd / Hubert Rd",""
"580",2011,"Birmingham","fordhouse lane",""
"581",2011,"Birmingham","Four ACres  Quinton ","Four ACres Quinton"
"582",2011,"Birmingham","Frogmill Rd.  Frankley","Frogmill Rd. Frankley"
"583",2011,"Birmingham","genners lane",""
"584",2011,"Birmingham","Glastonbury Rd.",""
"585",2011,"Birmingham","great park rubery",""
"586",2011,"Birmingham","Griffins Brook Lane",""
"587",2011,"Birmingham","Grosvenor Shopping Centre",""
"588",2011,"Birmingham","hagley Rd.",""
"589",2011,"Birmingham","hagley Rd.","hagley Rd."
"590",2011,"Birmingham","hagley Rd.","hagley Rd."
"591",2011,"Birmingham","Hagley Rd.",""
"592",2011,"Birmingham","hagley Rd.","hagley Rd."
"593",2011,"Birmingham","Hagley Rd.","Hagley Rd."
"594",2011,"Birmingham","Hagley Rd.","Hagley Rd."
"595",2011,"Birmingham","Hagley Rd.","Hagley Rd."
"596",2011,"Birmingham","Hagley Rd.","Hagley Rd."
"597",2011,"Birmingham","Hagley Rd.  Edgbaston","Hagley Rd. Edgbaston"
"598",2011,"Birmingham","Hagley Rd.  Eedgbaston","Hagley Rd. Eedgbaston"
"599",2011,"Birmingham","Harborne Cricket club",""
"600",2011,"Birmingham","Harborne high st",""
